,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
5857,152,86922,74.057571,214.632825,0.83555,1.38412,0.60238,5.57
5858,152,86922,74.057651,214.630485,0.8310700000000001,1.38113,0.5964,5.42
5859,152,86922,74.057361,214.632031,0.8310700000000001,1.38113,0.5964,5.53
5860,152,86922,74.05707199999998,214.633577,0.8310700000000001,1.38113,0.5964,5.38
5861,152,86922,74.057326,214.632218,0.8310700000000001,1.38113,0.5964,5.6
5862,152,86922,74.057414,214.629889,0.8310700000000001,1.38113,0.5964,5.47
5863,152,86922,74.057117,214.63142,0.8310700000000001,1.38113,0.5964,5.51
5864,152,86922,74.05682,214.632951,0.8310700000000001,1.38113,0.5964,5.4
5865,152,86922,74.057076,214.631631,0.8310700000000001,1.38113,0.5964,5.54
5866,152,86922,74.057168,214.629251,0.8310700000000001,1.38113,0.5964,5.54
5867,152,86922,74.056877,214.630808,0.8310700000000001,1.38113,0.5964,5.28
5868,152,86922,74.056587,214.632365,0.8310700000000001,1.38113,0.5964,5.42
5869,152,86922,74.056842,214.630995,0.8310700000000001,1.38113,0.5964,5.4
5870,152,86922,74.05693000000002,214.628665,0.8310700000000001,1.38113,0.5964,5.63
5871,152,86922,74.056638,214.630205,0.8310700000000001,1.38113,0.5964,5.41
5872,152,86922,74.05634599999998,214.631746,0.8310700000000001,1.38113,0.5964,5.38
5873,152,86922,74.0566,214.630405,0.8310700000000001,1.38113,0.5964,5.54
5874,152,86922,74.056689,214.628055,0.8310700000000001,1.38113,0.5964,5.48
5875,152,86922,74.056397,214.629594,0.8310700000000001,1.38113,0.5964,5.28
5876,152,86922,74.056105,214.631132,0.8310700000000001,1.38113,0.5964,5.35
5877,152,86922,74.05635799999997,214.629798,0.8310700000000001,1.38113,0.5964,5.45
5878,152,86922,74.056446,214.62744,0.8310700000000001,1.38113,0.5964,5.36
5879,152,86922,74.056156,214.628985,0.8310700000000001,1.38113,0.5964,5.53
5880,152,86922,74.055865,214.63053,0.8310700000000001,1.38113,0.5964,5.35
